Season;FG;3P;FT;TRB;AST;STL;BLK;TOV;PF;PTS
2022-23;42.0;12.3;18.4;43.4;25.3;7.3;4.7;14.1;20.0;114.7
2021-22;40.6;12.4;16.9;44.5;24.6;7.6;4.7;13.8;19.6;110.6
2020-21;41.2;12.7;17.0;44.3;24.8;7.6;4.9;13.8;19.3;112.1
2019-20;40.9;12.2;17.9;44.8;24.4;7.6;4.9;14.5;20.8;111.8
2018-19;41.1;11.4;17.7;45.2;24.6;7.6;5.0;14.1;20.9;111.2
2017-18;39.6;10.5;16.6;43.5;23.2;7.7;4.8;14.3;19.9;106.3
2016-17;39.0;9.7;17.8;43.5;22.6;7.7;4.7;14.0;19.9;105.6
2015-16;38.2;8.5;17.7;43.8;22.3;7.8;5.0;14.4;20.3;102.7
2014-15;37.5;7.8;17.1;43.3;22.0;7.7;4.8;14.4;20.2;100.0
2013-14;37.7;7.7;17.8;42.7;22.0;7.7;4.7;14.6;20.7;101.0
2012-13;37.1;7.2;16.7;42.1;22.1;7.8;5.1;14.6;19.8;98.1
2011-12;36.5;6.4;16.9;42.2;21.0;7.7;5.1;14.6;19.6;96.3
2010-11;37.2;6.5;18.6;41.4;21.5;7.3;4.9;14.3;20.7;99.6
2009-10;37.7;6.4;18.6;41.7;21.2;7.2;4.9;14.2;20.9;100.4
2008-09;37.1;6.6;19.1;41.3;21.0;7.3;4.8;14.0;21.0;100.0
2007-08;37.3;6.6;18.8;42.0;21.8;7.3;4.7;14.1;21.0;99.9
2006-07;36.5;6.1;19.6;41.1;21.3;7.2;4.6;15.1;22.2;98.7
2005-06;35.8;5.7;19.6;41.0;20.6;7.2;4.7;14.4;22.8;97.0
2004-05;35.9;5.6;19.7;41.9;21.3;7.5;4.9;14.5;22.6;97.2
2003-04;35.0;5.2;18.2;42.2;21.3;7.9;5.1;15.0;21.4;93.4
2002-03;35.7;5.1;18.5;42.3;21.5;7.9;5.0;14.9;21.8;95.1
2001-02;36.2;5.2;17.9;42.4;21.9;7.8;5.2;14.5;21.2;95.5
2000-01;35.7;4.8;18.6;42.5;21.8;7.8;5.3;15.0;22.3;94.8
1999-00;36.8;4.8;19.0;42.9;22.3;7.9;5.2;15.5;23.3;97.5
1998-99;34.2;4.5;18.8;41.7;20.7;8.4;5.0;15.3;22.2;91.6
1997-98;35.9;4.4;19.4;41.5;22.0;8.4;5.1;15.5;22.4;95.6
1996-97;36.1;6.0;18.7;41.1;22.0;8.2;4.9;15.7;22.1;96.9
1995-96;37.0;5.9;19.5;41.3;22.7;8.0;5.1;15.8;23.0;99.5
1994-95;38.0;5.5;19.9;41.6;23.4;8.3;5.2;15.9;23.5;101.4
1993-94;39.3;3.3;19.6;43.0;24.4;8.9;5.2;16.0;22.2;101.5
1992-93;40.7;3.0;20.9;43.1;24.7;8.6;5.2;15.9;23.2;105.3
1991-92;41.3;2.5;20.2;43.7;24.5;8.6;5.5;15.6;22.2;105.3
1990-91;41.4;2.3;21.3;43.3;24.7;8.6;5.3;16.0;23.2;106.3
